Label Name,Full component name,X,Y,Z,
HIP-head-rh,HIP-head-rh,26,-14,-20,
HIP-body-rh,HIP-body-rh,30,-25,-12,
HIP-tail-rh,HIP-tail-rh,26,-36,-3,
lAMY-rh,lAMY-rh,26,-2,-21,
mAMY-rh,mAMY-rh,21,-7,-15,
THA-DP-rh,THA-DP-rh,14,-31,3,
THA-VP-rh,THA-VP-rh,16,-23,4,
THA-VA-rh,THA-VA-rh,9,-11,7,
THA-DA-rh,THA-DA-rh,11,-22,12,
pGP-rh,pGP-rh,23,-8,-1,
aGP-rh,aGP-rh,18,0,-2,
NAc-shell-rh,NAc-shell-rh,11,12,-6,
NAc-core-rh,NAc-core-rh,14,19,-1,
aPUT-rh,aPUT-rh,23,9,-2,
pPUT-rh,pPUT-rh,28,-6,4,
aCAU-rh,aCAU-rh,13,14,8,
pCAU-rh,pCAU-rh,14,3,16,
HIP-head-lh,HIP-head-lh,-25,-14,-20,
HIP-body-lh,HIP-body-lh,-29,-25,-12,
HIP-tail-lh,HIP-tail-lh,-25,-36,-3,
lAMY-lh,lAMY-lh,-25,-2,-21,
mAMY-lh,mAMY-lh,-20,-7,-15,
THA-DP-lh,THA-DP-lh,-13,-31,3,
THA-VP-lh,THA-VP-lh,-15,-23,4,
THA-VA-lh,THA-VA-lh,-9,-11,7,
THA-DA-lh,THA-DA-lh,-10,-22,12,
pGP-lh,pGP-lh,-22,-8,-1,
aGP-lh,aGP-lh,-17,0,-2,
NAc-shell-lh,NAc-shell-lh,-10,12,-6,
NAc-core-lh,NAc-core-lh,-14,19,-1,
aPUT-lh,aPUT-lh,-23,9,-2,
pPUT-lh,pPUT-lh,-27,-6,4,
aCAU-lh,aCAU-lh,-12,14,8,
pCAU-lh,pCAU-lh,-13,3,16,